image_name,image_size,file_type,created_time,damaged,inference_time,total_execution_time,physical_core,total_core,system,processor,system_memory,system_memory_available,so_version,so_release,inference_engine,web_engine,processor_unit,docker,cloud
post_006_117.png,38335,image/png,2020-04-10 12:38:51.326 UTC,true,0.0031831264495849609,0.11841988563537598,2,4,Linux,x86_64,3.46GB,2.52GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_081_066.png,39668,image/png,2020-04-10 12:38:51.531 UTC,false,0.0031185150146484375,0.086500883102416992,2,4,Linux,x86_64,3.46GB,2.52GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_073.png,41863,image/png,2020-04-10 12:42:24.283 UTC,false,0.0034377574920654297,0.075417757034301758,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_079.png,42343,image/png,2020-04-10 12:41:03.005 UTC,true,0.0047030448913574219,0.10712289810180664,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_079.png,42343,image/png,2020-04-10 12:41:36.880 UTC,true,0.0036141872406005859,0.075152158737182617,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_083.png,39929,image/png,2020-04-10 12:41:29.338 UTC,true,0.0035912990570068359,0.10249924659729004,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_101.png,38568,image/png,2020-04-10 12:42:23.800 UTC,true,0.0029377937316894531,0.094382286071777344,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_101.png,38568,image/png,2020-04-10 12:42:10.868 UTC,true,0.0075678825378417969,0.087428808212280273,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_106.png,29017,image/png,2020-04-10 12:41:46.009 UTC,true,0.0033018589019775391,0.0882716178894043,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_106.png,29017,image/png,2020-04-10 12:41:58.839 UTC,true,0.0040555000305175781,0.087244272232055664,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_106.png,29017,image/png,2020-04-10 12:42:24.394 UTC,true,0.00316619873046875,0.078557491302490234,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_107.png,39697,image/png,2020-04-10 12:41:45.754 UTC,true,0.0038743019104003906,0.081804275512695312,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_108.png,39523,image/png,2020-04-10 12:42:09.922 UTC,true,0.0042881965637207031,0.083185434341430664,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_122.png,33591,image/png,2020-04-10 12:42:16.128 UTC,true,0.0040910243988037109,0.1427772045135498,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_128.png,37923,image/png,2020-04-10 12:42:23.944 UTC,true,0.0028588771820068359,0.10661196708679199,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_128.png,37923,image/png,2020-04-10 12:42:11.017 UTC,true,0.0066225528717041016,0.093183279037475586,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_148.png,35848,image/png,2020-04-10 12:42:18.069 UTC,true,0.0028159618377685547,0.1041259765625,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_148.png,35848,image/png,2020-04-10 12:41:58.931 UTC,true,0.0063018798828125,0.081418514251708984,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_149.png,40496,image/png,2020-04-10 12:41:46.059 UTC,true,0.0041832923889160156,0.078225374221801758,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_001_149.png,40496,image/png,2020-04-10 12:41:58.869 UTC,true,0.0035841464996337891,0.070701360702514648,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
post_002_132.png,35486,image/png,2020-04-10 12:41:43.614 UTC,true,0.0030567646026611328,0.081443071365356445,2,4,Linux,x86_64,3.46GB,2.49GB,#1 SMP Sat Apr 4 00:12:45 PDT 2020,4.19.112+,openvino,Flask,CPU,true,true
